epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,1153.37,0.59199,0.37586,1.01824,0.96723,0.96779,0.98666,0.84082,0.5678,0.31677,0.96719,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,1170.59,0.57388,0.38557,0.98532,0.96981,0.96308,0.98538,0.85295,0.55528,0.30554,0.95506,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,1187.84,0.58228,0.38155,0.98193,0.97993,0.94731,0.98169,0.84289,0.57201,0.32012,0.96632,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,1205.13,0.55199,0.36079,0.97307,0.97587,0.95187,0.98208,0.83847,0.58144,0.31975,0.98393,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
71,1222.61,0.55031,0.36613,0.97953,0.9788,0.96765,0.98507,0.83921,0.55569,0.30283,0.95924,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,1240,0.53406,0.3568,0.96554,0.99018,0.91685,0.98351,0.8402,0.57125,0.32184,0.95687,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,1257.42,0.56405,0.37801,0.99623,0.97486,0.95481,0.98255,0.84834,0.55459,0.31971,0.97562,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,1274.73,0.55675,0.3698,1.0013,0.98864,0.91673,0.97956,0.84567,0.55236,0.31694,0.97879,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,1292.07,0.55854,0.369,0.99294,0.98898,0.94063,0.98156,0.83881,0.56578,0.30875,0.99644,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,1309.26,0.55447,0.36573,0.98758,0.96954,0.94083,0.97978,0.83733,0.57686,0.30662,1.01504,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,1326.47,0.5392,0.36122,0.98057,0.98248,0.94063,0.98095,0.84192,0.56172,0.30592,0.98058,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,1343.69,0.54609,0.36933,0.97491,0.99131,0.93685,0.98025,0.83364,0.56978,0.31608,0.9844,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
79,1360.88,0.54062,0.35523,0.98914,0.99357,0.92901,0.98667,0.84573,0.56182,0.30368,0.99707,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
80,1378.11,0.53471,0.35524,0.97482,0.98531,0.94442,0.97945,0.83611,0.56609,0.31447,0.99844,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179
81,1395.32,0.53759,0.36446,0.96885,0.96518,0.97395,0.98478,0.86138,0.53754,0.30914,0.96045,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
82,1412.66,0.53671,0.36018,0.98023,0.97235,0.94674,0.98179,0.84714,0.53741,0.29512,0.97154,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981
83,1429.88,0.54393,0.35905,0.97725,0.97478,0.96484,0.98713,0.8542,0.54707,0.29445,0.98368,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
84,1447.15,0.52968,0.35052,0.97343,0.97086,0.95694,0.98473,0.85252,0.55753,0.30613,1.00693,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783
85,1464.52,0.52519,0.35393,0.97153,0.97527,0.9505,0.98693,0.84474,0.55276,0.29699,1.01442,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
86,1481.86,0.52479,0.35111,0.96956,0.98649,0.96779,0.98819,0.86113,0.54198,0.27578,0.98908,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
87,1499.14,0.53159,0.3549,0.98331,0.97234,0.98294,0.98293,0.85919,0.55107,0.2936,1.00702,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
88,1516.36,0.52253,0.34949,0.97835,0.97953,0.97038,0.98381,0.84897,0.55591,0.29607,0.99941,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387
89,1533.53,0.52577,0.35589,0.97912,0.96525,0.9586,0.98401,0.85474,0.54845,0.29684,0.98273,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
90,1550.8,0.50746,0.34987,0.96776,0.98979,0.93419,0.9857,0.85563,0.5503,0.29065,0.9824,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189
91,1568.09,0.526,0.3541,0.96941,0.96848,0.95647,0.98638,0.85091,0.54367,0.29518,0.9761,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
92,1585.52,0.52582,0.35443,0.97285,0.99042,0.93206,0.98492,0.85651,0.55042,0.2994,1.00093,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991
93,1602.92,0.50786,0.3404,0.96399,0.98245,0.93935,0.98643,0.85945,0.53248,0.28256,0.96882,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
94,1620.29,0.5107,0.33211,0.96567,0.96181,0.97733,0.9864,0.85392,0.54698,0.28179,0.97837,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793
95,1637.61,0.51747,0.34407,0.97077,0.99221,0.95892,0.9835,0.84756,0.5592,0.27664,0.99353,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
96,1654.96,0.50709,0.32781,0.95545,0.98518,0.93528,0.98547,0.84825,0.5449,0.29699,0.97172,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
97,1672.19,0.50609,0.33384,0.95768,0.97199,0.96215,0.98502,0.85074,0.55442,0.28789,0.97487,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
98,1689.4,0.50935,0.33806,0.96496,0.98928,0.94667,0.98626,0.85027,0.55983,0.28578,0.98014,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397
99,1706.64,0.49406,0.33161,0.95422,0.98657,0.94331,0.9845,0.84903,0.52769,0.29356,0.94991,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
100,1723.87,0.50466,0.33827,0.95229,0.99229,0.95449,0.98606,0.85656,0.55173,0.27826,0.96652,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199
101,1741.12,0.48975,0.32202,0.94987,0.98339,0.946,0.98515,0.85095,0.55433,0.29219,0.96459,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
102,1758.32,0.49122,0.32619,0.94746,0.97641,0.98132,0.98743,0.86046,0.53914,0.26946,0.9649,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001
103,1775.51,0.49134,0.32988,0.94195,0.98635,0.96842,0.98884,0.85946,0.5422,0.27115,0.96155,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
104,1793.13,0.50043,0.33279,0.96001,0.96088,0.9635,0.98675,0.85827,0.52539,0.27946,0.96054,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803
105,1810.73,0.49356,0.33291,0.95786,0.97261,0.97253,0.98838,0.85973,0.55609,0.2782,0.98265,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
106,1828.29,0.48349,0.32014,0.94882,0.98173,0.94127,0.98627,0.85972,0.54645,0.2831,0.96919,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
107,1845.86,0.49024,0.32177,0.94864,0.98837,0.952,0.98754,0.85223,0.55027,0.28356,0.96136,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
108,1863.57,0.48108,0.32132,0.92966,0.98463,0.95364,0.98338,0.85729,0.54313,0.28474,0.97105,0.0268221,0.0089407,0.0268221,0.0089407,0.0268221,0.0089407,0.0268221,0.0089407
109,1881.27,0.48346,0.3174,0.95702,0.98031,0.93941,0.9835,0.85465,0.53427,0.27749,0.97352,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
110,1898.88,0.49686,0.33,0.95351,0.97967,0.95184,0.9861,0.86518,0.5275,0.27613,0.98406,0.0267627,0.0089209,0.0267627,0.0089209,0.0267627,0.0089209,0.0267627,0.0089209
111,1916.37,0.48032,0.31786,0.93638,0.99757,0.9446,0.98702,0.86205,0.53212,0.25781,0.9732,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
112,1933.88,0.47526,0.32058,0.92973,0.98225,0.94557,0.98576,0.85422,0.54541,0.28315,0.97143,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011
